                  epoch,             train/loss,              test/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,                   lr/0
                      0,                 0.8932,                 2.9445,                0.31818,                      1,              0.0009967
                      1,                0.80647,                 4.6564,                0.27273,                      1,              0.0009934
                      2,                0.96971,                 3.4882,                0.27273,                      1,              0.0009901
                      3,                0.84187,                 4.6877,                0.27273,                      1,              0.0009868
                      4,                0.83364,                 3.5431,                0.27273,                      1,              0.0009835
                      5,                 0.8383,                 3.5271,                0.27273,                      1,              0.0009802
                      6,                0.82501,                  4.514,                0.27273,                      1,              0.0009769
                      7,                0.87106,                  1.143,                0.36364,                      1,              0.0009736
                      8,                0.80411,                0.74924,                0.72727,                      1,              0.0009703
                      9,                0.80197,                 14.711,                0.36364,                      1,               0.000967
                     10,                0.82176,                 0.8143,                0.59091,                      1,              0.0009637
                     11,                0.80998,                 1.2466,                0.27273,                      1,              0.0009604
                     12,                0.80226,                0.74638,                0.77273,                      1,              0.0009571
                     13,                0.85644,                0.71882,                0.68182,                      1,              0.0009538
                     14,                0.79409,                0.95328,                    0.5,                      1,              0.0009505
                     15,                0.78041,                0.79949,                0.59091,                      1,              0.0009472
                     16,                0.79944,                 1.6315,                0.68182,                      1,              0.0009439
                     17,                0.80825,                  6.083,                    0.5,                      1,              0.0009406
                     18,                0.82271,                  2.202,                0.63636,                      1,              0.0009373
                     19,                0.86448,                 2.4906,                0.59091,                      1,               0.000934
                     20,                0.82716,                0.69591,                0.77273,                      1,              0.0009307
                     21,                0.78651,                0.84865,                0.54545,                      1,              0.0009274
                     22,                0.81025,                0.61652,                0.77273,                      1,              0.0009241
                     23,                0.87517,                 2.1405,                0.31818,                      1,              0.0009208
                     24,                0.83147,                 1.0382,                0.54545,                      1,              0.0009175
                     25,                0.83812,                0.90081,                0.54545,                      1,              0.0009142
                     26,                0.79943,                0.74204,                0.68182,                      1,              0.0009109
                     27,                0.78575,                0.99434,                0.40909,                      1,              0.0009076
                     28,                0.80219,                 0.7179,                0.72727,                      1,              0.0009043
                     29,                0.76171,                0.92099,                0.59091,                      1,               0.000901
                     30,                0.85632,                0.69571,                0.72727,                      1,              0.0008977
                     31,                0.76299,                0.63503,                0.77273,                      1,              0.0008944
                     32,                 0.7983,                0.79869,                0.68182,                      1,              0.0008911
                     33,                0.81709,                0.74062,                0.77273,                      1,              0.0008878
                     34,                0.77427,                0.66614,                0.77273,                      1,              0.0008845
                     35,                0.76365,                0.70293,                0.63636,                      1,              0.0008812
                     36,                 0.7771,                0.65095,                0.68182,                      1,              0.0008779
                     37,                0.77635,                0.77289,                0.72727,                      1,              0.0008746
                     38,                0.77307,                 1.4044,                0.68182,                      1,              0.0008713
                     39,                0.78464,                0.98303,                0.63636,                      1,               0.000868
                     40,                0.83567,                0.95499,                0.72727,                      1,              0.0008647
                     41,                0.73327,                 1.1272,                0.40909,                      1,              0.0008614
                     42,                 0.7496,                0.74568,                0.59091,                      1,              0.0008581
                     43,                0.75735,                 1.1596,                0.31818,                      1,              0.0008548
                     44,                0.79259,                 1.2515,                0.40909,                      1,              0.0008515
                     45,                0.76763,                0.80707,                0.72727,                      1,              0.0008482
